idencuesta,ola,version,muestra,cuestion_mig,cuestion_completo,formato,segmento,comuna,comuna_cod,region,region_cod,estrato,ponderador01,ponderador02,fact_exp01,fact_exp02,r05_01,r05_02,r06,r07,r08,r09,r10,r11,r12_01,r12_02,r12_03,r12_04,r12_05,r12_06,r12_07,r13_nredes,r13_sexo_01,r13_edad_01,r13_relacion_01,r13_tiempo_01,r13_barrio_01,r13_educ_01,r13_relig_01,r13_ideol_01,r13_contacto_01,r13_confia_01,r13_sexo_02,r13_edad_02,r13_relacion_02,r13_tiempo_02,r13_barrio_02,r13_educ_02,r13_relig_02,r13_ideol_02,r13_contacto_02,r13_confia_02,r13_sexo_03,r13_edad_03,r13_relacion_03,r13_tiempo_03,r13_barrio_03,r13_educ_03,r13_relig_03,r13_ideol_03,r13_contacto_03,r13_confia_03,r13_sexo_04,r13_edad_04,r13_relacion_04,r13_tiempo_04,r13_barrio_04,r13_educ_04,r13_relig_04,r13_ideol_04,r13_contacto_04,r13_confia_04,r13_sexo_05,r13_edad_05,r13_relacion_05,r13_tiempo_05,r13_barrio_05,r13_educ_05,r13_relig_05,r13_ideol_05,r13_contacto_05,r13_confia_05,r14,r15,r16,r17,r18_01,r18_02,t01,t02_01,t02_02,t02_03,t02_04,t03_01,t03_02,t03_03,t03_04,t05,t06_01,t06_02,t06_03,t06_04,t06_05,t06_06,t06_07,t06_08,t07_01,t07_02,t08,t09_01,t09_02,t09_03,t10,t11_01,t11_02,t11_03,t11_04,t13_01,t13_02,t13_03,t14,c01,c02,c03,c04,c05_01,c05_02,c05_03,c05_04,c05_05,c05_06,c05_07,c05_08,c05_09,c05_10,c05_11,c05_12,c05_13,c05_14,c06_01,c06_02,c06_03,c06_04,c06_05,c06_06,c08_01,c08_02,c08_03,c08_04,c08_05,c09_01,c09_02,c09_03,c09_04,c10_01,c10_02,c10_03,c12_01,c12_02,c12_03,c12_04,c12_05,c12_06,c12_07,c12_08,c12_09,c12_09_otro,c13,c14_01,c14_02,c15,c16,c16_otro,c17,c17_otro,c18_05,c18_08,c18_09,c18_10,c18_11,c18_13,c20,c20_otro,c21_01,c21_02,c21_03,c21_04,c21_05,c21_06,c21_07,c21_08,c21_09,c21_10,c21_11,c22,c23,c24,c25,c32_01,c32_02,c33,c34,c35_01,c35_02,c35_03,c35_04,c37_01,c37_02,c37_03,c37_04,c37_05,c37_06,c37_07,c37_08,c37_09,c37_10,c38,c40_01,c40_02,c40_03,c40_04,c40_05,c40_06,c41_01,c41_02,c41_03,c41_04,c42_01,c42_02,c42_03,c42_04,c46_01,c46_02,c46_03,c46_04,c46_05,c49_01,c49_02,c49_03,c49_04,c49_05,c49_06,c50,c51,c52,c53,c54,c55,c56,c57,d01_01,d01_02,d01_03,d01_04,d02_01,d02_02,d02_03,d03_01,d03_02,d04_01,d04_02,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d25_01,d25_02,d25_03,d25_04,d25_05,d25_06,d26_01,d26_02,d26_03,d26_04,d27_01,d27_02,d27_03,d27_04,d27_05,d28,g01_01,g01_02,g01_03,g01_04,g01_05,g02_01,g02_02,g02_03,g02_04,g02_05,g03_01,g03_02,f04_01,f04_02,f05_01,f05_02,f05_03,f05_04,f05_05,f05_06,f05_07,f06_01,f06_02,f07_01,f07_02,f08_01,f08_02,f08_03,f08_04,f08_05,f08_06,f09_01,f09_02,f09_03,s01,s02,s03,s11_01,s11_02,s11_03,s11_04,s11_05,s11_06,s11_07,s11_08,s11_09,s13_01,s13_02,s13_03,s13_04,s13_05,s13_06,s13_07,s13_08,s16,s17,s18,s19_01,s19_02,s19_03,s19_04,s19_05,s19_01_fecha,s19_02_fecha,s19_03_fecha,s19_04_fecha,s19_05_fecha,s20,s21,s22_01,s22_02,s22_03,s22_04,s22_05,s22_06,s22_07,s22_08,s22_09,s22_10,s23_01,s23_02,s23_03,s23_04,s23_05,s24_01,s24_02,s24_03,s26_01,s26_02,s26_03,s26_04,s26_05,s26_06,s27,s28,s29,s30_01,s30_02,s30_03,s30_04,s30_05,s30_06,s30_07,s30_08,s31,m0_sexo,m0_edad,m01,m02,m13,m14,m14b,m15,m16,m29,m30,m30b,m36,m36_otro,m38,m38_otro,m39,m41,m45,m53,m53_otro,m57,m58,m59,m66_01,sexo_enc,edad_enc,nac_enc,educ_enc,exp_campo_enc,fecha_entr,mod_t_dur,mod_r_dur,mod_c_dur,mod_d_dur,mod_f_dur,mod_g_dur,mod_s_dur,mod_m_dur,otros_dur,total_dur
3101182,6,202201,1,2,1,1,310118,Copiapo,3101,Atacama,3,4,1.34188973903656,0.8676809668540955,11662.8623046875,7541.33740234375,2,1,2,4,1,4,4,3,3,3,3,2,3,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,2,2,4,5,4,5,3,4,3,4,2,3,5,4,4,3,5,5,4,5,3,2,3,3,4,4,1,2,1,1,77,NA,NA,1,3,2,2,3,4,2,1,3,1,1,2,5,1,1,5,2,2,3,2,2,4,5,5,3,3,3,1,4,2,3,2,1,3,5,5,5,2,2,1,1,2,1,1,1,1,NA,2,2,3,5,3,NA,1,NA,5,5,2,4,5,4,5,NA,5,5,5,5,5,5,5,5,3,5,2,5,3,4,1,5,5,NA,NA,NA,NA,NA,NA,5,3,5,5,4,4,5,5,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,3,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,7,6,10,3,3,2,2,5000000,450000,10000000,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,3,1,5,5,5,5,3,NA,NA,1,1,1,1,1,1,1,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,3,2,5,3,4,1,3,1,2,2,2,1,2,2,2,2,2,4,1,4,2,2,2,2,2,NA,NA,NA,NA,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,2,3,5,5,2,5,5,5,3,3,5,10,5,NA,5,5,5,5,5,5,5,5,1,2,36,10,1,1500000,NA,NA,2200000,3,3500000,NA,NA,9,Con pareja,1,NA,4,2,1,6,NA,chófer,5,2,1,Femenino,54,Chilena,Educación Media-Técnico Profesional,Si,2022-09-13,4.766666889190674,5.7166666984558105,20,3.799999952316284,1.4166666269302368,0.949999988079071,7.333333492279053,3.116666555404663,7.850000057369471,54.94999694824219
3101183,6,202201,1,2,1,1,310118,Copiapo,3101,Atacama,3,4,0.8051338791847229,1.7553261518478394,6997.7177734375,15256.19140625,1,1,2,3,1,1,4,3,3,3,4,4,4,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,3,5,2,2,5,2,4,4,4,3,3,5,1,1,1,3,5,5,5,5,2,3,1,4,4,5,1,1,1,77,NA,NA,1,1,2,3,3,1,1,1,3,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1,1,1,4,4,4,4,4,1,5,4,4,3,1,1,3,1,1,1,1,1,NA,4,2,4,12,15,NA,5,NA,5,5,1,1,5,1,3,NA,4,4,4,4,4,2,4,4,4,3,4,1,1,1,1,3,2,NA,NA,NA,NA,NA,NA,4,1,5,1,5,5,5,1,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,5,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,5,5,10,0,1,1,1,7000000,400000,7000000,1000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,2,4,4,4,4,5,NA,NA,2,2,5,1,1,1,1,5,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,3,30,7,2,2,2,2,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,5,3,3,2,4,3,2,4,0,0,NA,4,4,4,4,4,5,3,4,2,1,28,5,1,1500000,NA,NA,1800000,3,1500000,NA,NA,2,NA,1,NA,7,2,1,6,NA,soldador,1,2,1,Femenino,49,Chilena,Profesional (4 o más años),Si,2022-10-03,3.5166666507720947,2.866666555404663,15.116666316986084,1.0666667222976685,1.0833333730697632,1.3833333253860474,8.521222264119357,1.7999999523162842,4.433333437889814,39.78789138793945
3101191,6,202201,1,2,1,1,310119,Copiapo,3101,Atacama,3,4,0.3354724943637848,0.21692024171352386,2915.716064453125,1885.33447265625,2,1,1,NA,NA,3,3,3,2,2,2,2,4,4,4,1,2,30,4,5,2,3,-999,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,4,2,2,2,2,2,2,2,2,2,1,2,4,2,2,4,4,4,2,4,3,2,3,-888,4,2,1,1,1,3,9,11,13,1,1,2,2,2,1,1,3,4,1,1,1,3,3,3,4,3,1,4,1,1,1,4,4,3,1,3,1,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,Organizacion cultural,3,3,3,1,15,NA,5,NA,4,4,2,3,4,2,3,NA,4,4,4,4,4,2,4,4,3,-888,3,1,1,1,1,4,4,NA,NA,NA,NA,NA,NA,4,3,4,3,4,3,4,4,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,3,4,NA,NA,NA,NA,NA,NA,1,7,1,1,1,1,NA,NA,5,3,8,4,2,2,2,20000000,500000,10000000,800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,3,2,4,4,4,4,3,NA,NA,2,2,3,3,1,1,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,2,2,2,2,2,2,-888,1,2,2,2,1,2,2,2,2,7,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,2,-888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,5,5,1,1,5,4,5,3,1,6,6,NA,4,4,4,4,4,4,3,3,1,2,31,5,1,400000,NA,NA,600000,4,600000,NA,NA,2,NA,1,NA,7,2,1,6,NA,Mecánico,5,2,1,Femenino,54,Chilena,Educación Media-Técnico Profesional,Si,2022-08-31,4.25,5.383333206176758,17.516666412353516,2.366666555404663,1.6833332777023315,1.5833333730697632,8.166666746139526,4.916666507720947,3.4333333373069763,49.29999923706055
3101192,6,202201,1,2,1,1,310119,Copiapo,3101,Atacama,3,4,0.20128348469734192,0.1301521509885788,1749.4295654296875,1131.20068359375,1,1,1,NA,NA,1,1,2,1,1,5,3,4,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2,3,3,3,3,3,2,2,3,3,4,4,4,2,2,3,4,4,4,4,3,2,4,4,4,2,1,1,1,1,9,77,NA,1,1,2,2,1,1,1,3,1,1,2,1,3,1,3,4,4,1,3,1,1,1,2,1,3,1,1,1,1,2,3,1,1,1,5,5,5,3,1,1,1,1,1,1,1,1,NA,3,4,3,12,15,NA,5,NA,5,5,1,2,5,1,7,NA,4,4,4,4,4,2,3,4,4,3,4,3,3,4,1,4,4,NA,NA,NA,NA,NA,NA,3,2,4,4,5,5,5,5,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,2,NA,NA,NA,NA,NA,NA,1,3,1,1,1,NA,1,1,5,5,10,0,1,1,1,40000000,400000,-888,4000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,4,2,4,4,2,2,4,NA,NA,2,2,1,1,1,1,1,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,2,2,2,3,2,1,1,1,2,2,2,1,2,2,2,2,1,3,1,1,2,1,2,2,2020,NA,2020,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,5,5,1,5,1,5,5,1,0,0,NA,4,4,4,4,4,4,4,4,2,2,56,2,7,NA,NA,NA,NA,NA,500000,NA,NA,2,NA,9,NA,NA,1,1,10,NA,obrero de fabrica de ladrillos,1,2,1,Femenino,57,Chilena,Profesional (4 o más años),Si,2022-09-12,6.2833333015441895,3.9166667461395264,14.216666221618652,2.6666667461395264,1.1833332777023315,1.1666666865348816,6.449999809265137,1.8166667222976685,2.3166667092591524,40.01666259765625
3101202,6,202201,1,2,1,1,310120,Copiapo,3101,Atacama,3,4,0.26837798953056335,0.5851086974143982,2332.57275390625,5085.39697265625,1,1,1,NA,NA,1,1,4,3,3,5,5,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,5,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2,4,2,2,2,1,1,1,4,1,3,1,2,77,NA,NA,1,1,2,2,1,1,1,3,1,3,3,1,1,1,1,5,1,1,1,1,1,1,1,4,1,1,1,1,5,1,1,1,1,5,4,4,4,1,3,1,1,1,1,1,1,1,NA,3,3,4,12,15,NA,5,NA,5,2,3,3,4,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,NA,NA,NA,NA,NA,NA,1,2,5,4,5,3,2,2,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,2,1,2,1,NA,1,2,5,5,6,0,4,2,2,5000000,500000,5000000,850000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,4,2,2,2,4,NA,NA,1,1,1,1,1,1,1,4,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,2,1,3,2,2,1,1,1,2,2,2,2,2,2,2,2,1,730,2,1,1,2,2,2,2019,2019,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,5,2,1,5,3,5,4,1,1,0,NA,4,4,4,2,2,2,2,2,2,1,75,5,5,NA,NA,NA,NA,NA,205000,NA,NA,8,NA,2,NA,3,2,1,10,NA,cocinera,1,2,1,Femenino,49,Chilena,Profesional (4 o más años),Si,2022-10-22,3.7166666984558105,4.733333110809326,25.866666793823242,1.1833332777023315,1.600000023841858,1.4166666269302368,4.583333492279053,1.7333333492279053,3.9166667200624943,48.749996185302734
3101203,6,202201,1,2,1,1,310120,Copiapo,3101,Atacama,3,4,0.8051338791847229,0.5206086039543152,6997.7177734375,4524.802734375,1,2,3,4,1,4,1,4,4,4,4,4,4,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,-888,4,3,4,4,4,4,4,4,4,4,2,3,3,3,2,3,4,4,4,3,4,3,4,1,3,2,3,1,1,1,1,11,8,5,1,3,2,2,2,3,3,3,3,3,3,3,4,3,3,4,3,3,3,1,1,1,4,3,3,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,NA,1,3,3,2,15,NA,5,NA,4,4,2,3,4,2,10,NA,4,4,4,4,4,-888,4,4,4,-888,4,3,3,3,1,4,4,NA,NA,NA,NA,NA,NA,4,2,4,2,4,4,4,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,5,5,5,3,2,2,2,400000000,400000,80000000,800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,4,4,4,4,4,NA,NA,1,1,1,1,1,1,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,1,1,3,2,1,1,1,1,1,2,2,1,2,2,1,2,2,3,1,8,1,2,2,2,2,2018,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,4,5,1,1,5,1,1,1,1,0,0,NA,4,4,4,4,4,4,4,4,2,2,55,7,9,NA,NA,NA,NA,NA,-999,1,NA,7,NA,1,NA,6,1,1,10,NA,Operador minero,1,2,2,Femenino,54,Chilena,Educación Media-Técnico Profesional,Si,2022-09-01,4.833333492279053,3.9166667461395264,17.78333282470703,5.949999809265137,1.5833333730697632,1.5166666507720947,9.783333778381348,8.883333206176758,3.3666667137295008,57.616668701171875
3101222,6,202201,1,2,1,1,310122,Copiapo,3101,Atacama,3,4,1.431349277496338,3.1205801963806152,12440.388671875,27122.12109375,1,2,2,3,1,4,3,2,4,4,5,1,4,4,5,1,1,27,4,4,2,5,1,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,-888,-999,5,5,4,4,4,4,4,4,4,4,1,4,5,5,3,5,3,5,5,5,5,5,2,2,4,4,2,3,1,1,13,12,11,1,3,3,2,1,4,2,1,3,3,2,1,5,2,1,5,1,2,5,1,1,2,-888,-888,-888,2,5,1,3,3,2,4,4,4,5,3,4,1,1,1,1,1,1,1,1,1,NA,5,5,5,2,3,NA,3,NA,1,5,2,1,5,1,10,NA,4,4,4,4,4,4,4,3,4,3,3,4,4,4,1,5,5,NA,NA,NA,NA,NA,NA,5,5,5,2,4,2,4,3,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,2,4,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,6,6,4,-888,2,1,1,40000000,350000,15000000,900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,2,2,4,2,2,2,4,NA,NA,2,2,2,2,2,1,1,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,1,2,1,3,2,2,1,1,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,3,3,5,5,5,4,2,5,1,4,4,4,0,NA,5,4,5,5,5,4,5,5,1,1,32,9,1,800000,NA,NA,800000,2,2000000,NA,NA,4,NA,7,NA,NA,3,1,1,NA,vendedor técnico,1,2,1,Femenino,54,Chilena,Educación Media-Técnico Profesional,Si,2022-09-02,5.300000190734863,4.099999904632568,8.199999809265137,2.7166666984558105,1.4333332777023315,0.9666666388511658,5.166666507720947,2.5833332538604736,3.066666681319475,33.53333282470703
3101231,6,202201,1,2,1,1,310123,Copiapo,3101,Atacama,3,4,0.3578372895717621,0.2313815951347351,3110.096923828125,2011.0234375,1,1,2,2,3,2,3,4,2,4,2,2,4,4,4,3,1,26,4,4,2,5,1,5,2,2,1,32,4,3,2,5,1,5,1,3,2,36,4,2,2,5,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,-888,4,4,2,2,2,2,4,2,3,3,3,1,3,3,2,4,4,4,4,3,4,4,4,2,2,2,4,4,3,1,3,11,12,8,1,2,2,2,2,4,1,4,3,2,2,1,3,3,4,5,2,3,4,1,1,1,5,5,2,4,1,1,1,2,4,4,4,1,4,2,4,1,1,1,1,3,1,1,1,1,NA,4,4,4,4,15,NA,5,NA,4,4,2,2,4,2,1,NA,4,4,3,4,4,2,4,4,2,2,2,3,3,3,1,4,4,NA,NA,NA,NA,NA,NA,4,4,4,2,4,2,4,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,4,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,3,1,5,1,2,2,2,20000000,400000,8000000,1000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,2,4,4,4,4,4,NA,NA,1,1,1,1,1,1,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,3,3,3,3,1,1,1,1,2,2,2,1,1,2,2,2,3,2,4,2,2,1,2,2,NA,NA,2021,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,5,1,1,4,5,2,2,2,12,5,NA,2,4,4,4,4,4,4,4,1,2,40,9,1,1300000,NA,NA,2000000,2,3000000,NA,NA,7,NA,6,Adventista,6,2,1,7,NA,Docente,2,2,1,Femenino,54,Chilena,Educación Media-Técnico Profesional,Si,2022-09-01,5.050000190734863,9.333333015441895,15.683333396911621,1.7666666507720947,1.350000023841858,1.2000000476837158,8,4.733333110809326,3.033333368599415,50.14999771118164
3101232,6,202201,1,1,1,1,310123,Copiapo,3101,Atacama,3,4,0.7156745791435242,0.4627631902694702,6220.19384765625,4022.046875,1,1,1,NA,NA,3,1,4,3,3,3,3,1,4,4,1,2,38,4,5,2,3,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,5,4,5,3,4,3,2,4,4,4,4,1,2,5,4,3,4,4,4,4,5,2,4,3,5,5,1,3,1,1,3,7,8,11,1,1,2,2,3,2,1,2,-888,2,1,1,2,2,1,5,2,2,2,1,1,2,5,3,3,3,2,1,3,5,5,3,2,4,5,4,4,1,1,1,1,1,2,3,1,-999,NA,2,4,4,5,-888,NA,3,NA,4,4,2,2,5,2,10,NA,5,5,5,5,4,-888,5,4,4,-888,3,3,5,5,3,4,4,NA,NA,NA,NA,NA,NA,5,4,5,4,5,1,4,4,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,5,NA,NA,NA,NA,NA,NA,1,7,1,1,1,1,NA,NA,4,5,7,4,3,1,1,9000000,350000,5000000,600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,3,1,5,1,4,5,5,NA,NA,2,1,3,2,1,4,1,2,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,1,2,2,3,1,2,1,1,2,2,2,2,2,2,2,2,3,5,1,2,2,2,2,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,1,5,5,1,1,4,5,4,4,4,2,1,NA,5,5,5,5,5,5,5,5,2,2,37,5,2,300000,NA,NA,600000,1,250000,NA,NA,4,NA,1,NA,6,1,1,11,Changos,trabajadora para las fuerzas armadas,3,2,1,Femenino,54,Chilena,Educación Media-Técnico Profesional,Si,2022-09-01,5.516666889190674,5.299999833106995,11.266666412353516,17.700000762939453,1.1833332777023315,1.5833333730697632,5.949999809265137,4.166666507720947,3.2166667617857456,55.883331298828125
3101233,6,202201,1,2,1,1,310123,Copiapo,3101,Atacama,3,4,0.5367558598518372,1.1702172756195068,4665.14453125,10170.79296875,1,1,3,3,1,3,1,4,-888,-888,2,2,4,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,-888,4,4,4,4,2,4,4,4,4,4,4,3,3,-999,3,4,4,4,4,4,4,4,4,1,3,2,4,1,1,1,1,11,12,13,1,3,2,2,2,4,2,4,2,4,4,3,4,4,4,4,2,4,4,1,1,1,3,3,3,1,1,1,3,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,NA,4,4,4,5,15,NA,4,Social democratica,4,4,3,3,3,4,3,NA,4,4,4,4,4,-999,4,4,3,-999,4,-999,-999,-999,1,4,4,NA,NA,NA,NA,NA,NA,4,3,4,4,4,4,4,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,4,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,5,5,6,4,2,2,2,5000000,500000,3000000,1000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,2,4,4,4,4,4,NA,NA,1,1,1,1,1,1,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,0,4,1,2,2,2,2,2012,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,4,5,1,1,5,5,5,5,1,1,0,NA,4,4,4,4,4,4,4,4,2,1,65,9,1,1500000,NA,NA,2000000,4,1800000,NA,NA,1,NA,1,NA,7,2,1,10,NA,Empleado estatal,2,2,2,Femenino,54,Chilena,Educación Media-Técnico Profesional,Si,2022-08-31,5.483333110809326,4.683333396911621,16.28333330154419,2.683333396911621,1.350000023841858,1.7666666507720947,6.2833333015441895,2.9000000953674316,2.2166666761040688,43.650001525878906
